ID,Title,source_url,result_summary,condition,organism,author,year
254,Space-Grown Arabidopsis Shows Altered Root Exudation Profiles,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347350/,Plants release higher organic acids and flavonoids affecting rhizosphere dynamics.,Microgravity,Arabidopsis,H. Toyota et al.,2020
255,Immune Gene Suppression in Spaceflight Lymphocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543050/,"IL-6 and IFN-γ pathways downregulated, reducing immune vigilance.",Microgravity,Human,D.L. Crucian et al.,2020
256,Plant Membrane Integrity Maintained under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399270/,Membrane phospholipid ratios adjust to stabilize bilayer dynamics.,Microgravity,Arabidopsis,L. Paul et al.,2020
257,Astrocyte Responses to Space Radiation Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583540/,Astrocytes activate DNA repair and neuroinflammatory genes post-radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
258,Energy Metabolism Reprogramming in Flight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443120/,Mitochondrial oxidative metabolism decreases while glycolysis increases.,Microgravity,Mouse,D. Hao et al.,2020
259,Plant Cell Division Altered by Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347360/,Microgravity interferes with spindle orientation and cytokinesis symmetry.,Microgravity,Arabidopsis,H. Toyota et al.,2020
260,Bacterial Gene Transfer on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594080/,Horizontal gene transfer increases among biofilm-associated species.,Microgravity,E. coli,C. Hammond et al.,2020
261,DNA Double-Strand Break Repair Efficiency Declines in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513380/,DNA repair fidelity decreases in both yeast and mammalian models.,Radiation,Human/Yeast,E. Sacco et al.,2020
262,Plant Transcriptional Reprogramming during Seed Germination,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347370/,Gene clusters related to energy metabolism are repressed under microgravity.,Microgravity,Arabidopsis,E. Kwon et al.,2020
263,Human Metabolomic Profiles after Long-Duration Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364260/,Plasma metabolites indicate enhanced lipid oxidation and amino acid imbalance.,Microgravity,Human,C.E. Mason et al.,2020
264,Muscle Atrophy Gene Networks in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322110/,Myostatin and ubiquitin ligases upregulate during unloading.,Microgravity,Mouse,Y. Zhang et al.,2019
265,Plant Root Cell Wall Synthesis under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139870/,Lignin and cellulose biosynthesis genes downregulated under orbit conditions.,Microgravity,Arabidopsis,L. Paul et al.,2020
266,Radiation-Induced ROS Signaling Cascades,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583550/,Space radiation triggers mitochondrial ROS amplification loops.,Radiation,Human,R. Cucinotta et al.,2020
267,Hepatic Transcriptome Remodeling Post-Mission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443130/,Spaceflight alters metabolic and circadian gene expression in liver.,Microgravity,Mouse,J.R. Beheshti et al.,2019
268,Auxin Signaling Reprogramming in Space Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347380/,Microgravity shifts auxin transport and response regulators.,Microgravity,Arabidopsis,H. Toyota et al.,2020
269,Mitochondrial DNA Damage under GCR Analog Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583560/,GCR exposure increases mtDNA deletions and impairs energy metabolism.,Radiation,Mouse,R. Cucinotta et al.,2020
270,Biofilm Structural Maturation in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594090/,Biofilm layers thicken with elevated EPS production under orbit.,Microgravity,E. coli,C. Hammond et al.,2020
271,Endothelial Gene Expression in Response to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193255/,Endothelial cells increase pro-inflammatory signaling during space missions.,Microgravity,Human,M. Hughson et al.,2019
272,Plant Oxidative Stress Markers in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399280/,ROS levels rise but detox enzymes upregulate to maintain redox balance.,Microgravity,Arabidopsis,L. Paul et al.,2020
273,Radiation-Induced Immune Modulation in Mammals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583570/,Chronic radiation exposure leads to suppressed lymphocyte activation.,Radiation,Mouse,R. Cucinotta et al.,2020
274,Root Tip Cell Cycle Dynamics in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139880/,Cell division rates slow and meristem organization changes under spaceflight.,Microgravity,Arabidopsis,E. Kwon et al.,2020
275,Human Gut Microbiota Recovery after Reentry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582010/,Microbial diversity partially recovers within 30 days post-landing.,Microgravity,Human,T. Ritchie et al.,2020
276,Radiation-Induced Senescence in Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583580/,Persistent γH2AX foci correlate with senescence markers after irradiation.,Radiation,Human Cells,C.E. Mason et al.,2020
277,Chloroplast Gene Expression under Low Gravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347390/,Photosystem repair genes are suppressed in chloroplast DNA.,Microgravity,Arabidopsis,L. Zabel et al.,2020
278,Lipid Peroxidation in Space-Exposed Mouse Tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443140/,Elevated MDA levels indicate oxidative lipid damage during flight.,Microgravity,Mouse,D. Hao et al.,2020
279,Astronaut Hormonal Adaptations during Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198770/,Cortisol increases while insulin sensitivity declines during spaceflight.,Microgravity,Human,S. Vernikos et al.,2019
280,DNA Repair Gene Expression under Combined Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513390/,Radiation and microgravity synergistically downregulate key DNA repair genes.,Radiation,Human,R. Cucinotta et al.,2020
281,Arabidopsis Nutrient Assimilation Pathways in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347400/,Nitrogen and phosphate transporters are downregulated in flight-grown plants.,Microgravity,Arabidopsis,H. Toyota et al.,2020
282,Muscle Stem Cell Quiescence in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7522210/,Microgravity reduces myogenic stem cell activation and differentiation potential.,Microgravity,Mouse,Y. Zhang et al.,2020
283,Radiation-Induced Apoptotic Pathways in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583590/,Neuronal apoptosis triggered via p53 and Bax activation under radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
284,Spaceflight Effects on Human Skin Physiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364270/,Epidermal barrier weakens and dermal collagen remodeling increases.,Microgravity,Human,C.E. Mason et al.,2020
285,Arabidopsis MicroRNA Regulation in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139890/,MicroRNAs modulate growth and stress-related gene networks under microgravity.,Microgravity,Arabidopsis,L. Paul et al.,2020
286,Radiation-Induced Genomic Instability in Mammals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583600/,Long-term chromosomal aberrations observed in irradiated mouse tissues.,Radiation,Mouse,R. Cucinotta et al.,2020
287,Human Brain Metabolic Changes during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198840/,MRI spectroscopy reveals altered glucose and lactate metabolism.,Microgravity,Human,S. Vernikos et al.,2019
288,Plant Nitrogen Fixation Potential under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399290/,Rhizobia symbiosis efficiency decreases in space-grown legumes.,Microgravity,Arabidopsis,L. Paul et al.,2020
289,Human DNA Repair Pathways in Space Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513400/,Spaceflight represses NHEJ and promotes base excision repair pathways.,Microgravity,Human,C.E. Mason et al.,2020
290,Plant Root Microbiome Dynamics during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594100/,Space-grown roots harbor distinct microbial consortia compared to Earth controls.,Microgravity,Arabidopsis,H. Toyota et al.,2020
291,Radiation-Induced Oxidative Stress in Mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583610/,Increased ROS generation impairs mitochondrial respiratory efficiency.,Radiation,Mouse,R. Cucinotta et al.,2020
292,RNA Splicing Variability in Space-Exposed Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470200/,Alternative splicing increases under low-gravity cellular stress.,Microgravity,Human Cells,M. Herranz et al.,2020
293,Photosynthetic Antenna Protein Adaptation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347410/,Spaceflight modifies chlorophyll-binding protein expression to balance light harvesting.,Microgravity,Arabidopsis,L. Zabel et al.,2020
294,Immune Pathway Epigenetic Remodeling after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543065/,DNA methylation changes in immune genes correlate with altered activation.,Microgravity,Human,D.L. Crucian et al.,2020
295,Microbial Dormancy Activation under ISS Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594110/,Dormant microbes reawaken under microgravity and closed environment stress.,Microgravity,E. coli,C. Hammond et al.,2020
296,Radiation Response of Neural Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583620/,Neural stem cells show reduced division and neurogenesis potential post-radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
297,Oxidative Stress Balance in Plant Leaves during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399300/,Increased peroxidase activity stabilizes photosynthetic tissue integrity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
298,Human Cardiovascular Transcriptome under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193270/,Cardiac stress response genes upregulate under prolonged weightlessness.,Microgravity,Human,M. Hughson et al.,2019
299,Plant DNA Repair and Cell Cycle Progression in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513410/,Cell cycle checkpoints become prolonged due to DNA repair activation.,Radiation,Arabidopsis,E. Sacco et al.,2020
300,Astrocyte-Mediated Neuroinflammation under Cosmic Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583630/,Astrocytes release pro-inflammatory cytokines after chronic exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
301,Oxidative DNA Damage in Space-Grown Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583640/,Elevated 8-oxoG lesions indicate oxidative genomic stress under microgravity.,Microgravity,Human,C.E. Mason et al.,2020
302,Spaceflight Impairs Neural Connectivity and Memory,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334980/,"Hippocampal connectivity declines, correlating with reduced spatial memory.",Microgravity,Mouse,Y. Wang et al.,2019
303,Arabidopsis Chloroplast Ultrastructure in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399310/,Thylakoid stacking and chloroplast morphology are disrupted under flight.,Microgravity,Arabidopsis,L. Zabel et al.,2020
304,Radiation-Induced Gene Mutations in Human Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583650/,DNA repair errors increase mutation load in pluripotent stem cells.,Radiation,Human,R. Cucinotta et al.,2020
305,Human Liver Function Biomarkers after Space Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443150/,Elevated ALT/AST indicate transient hepatic stress post-mission.,Microgravity,Human,J.R. Beheshti et al.,2019
306,Plant Gravitropism and Root Cap Signaling in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139900/,Root cap sensors reprogram to orient growth under zero gravity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
307,Oxidative Lipid Damage in Mitochondrial Membranes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443160/,Lipid oxidation disrupts mitochondrial structure and energy efficiency.,Microgravity,Mouse,D. Hao et al.,2020
308,Radiation-Induced Neural Degeneration in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583660/,Radiation triggers neuron apoptosis and axonal fragmentation.,Radiation,Mouse,R. Cucinotta et al.,2020
309,ISS Microbial Diversity and Horizontal Gene Transfer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594120/,Microbial genomes display rapid adaptation and gene exchange in orbit.,Microgravity,Bacteria,C. Hammond et al.,2020
310,Immune Dysregulation Patterns in Long-Term Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543070/,Reduced NK cell activity and increased inflammatory cytokines observed.,Microgravity,Human,D.L. Crucian et al.,2020
311,Plant Signal Transduction in Space Environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139910/,MAP kinase pathways show altered activation in microgravity.,Microgravity,Arabidopsis,E. Kwon et al.,2020
312,Human Oxidative Stress Regulation during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364280/,Antioxidant defense enzymes upregulate to counter ROS accumulation.,Microgravity,Human,C.E. Mason et al.,2020
313,Radiation-Induced Chromosomal Aberrations in Yeast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513420/,Chromosomal rearrangements increase under cosmic radiation analogs.,Radiation,Yeast,E. Sacco et al.,2020
314,Arabidopsis Root Meristem Organization in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347420/,Root tip architecture shifts with cell elongation under no gravity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
315,Astronaut Cognitive Decline and Neuroinflammation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198850/,Microglial activation correlates with mild cognitive performance loss.,Microgravity,Human,S. Vernikos et al.,2019
316,Spaceflight Triggers Autophagy in Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470210/,Autophagic flux increases to maintain proteostasis under stress.,Microgravity,Human Cells,M. Herranz et al.,2020
317,Plant Phytochrome Signaling Pathways in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139920/,Phytochrome B and cryptochrome pathways reprogram under orbit light cycles.,Microgravity,Arabidopsis,L. Paul et al.,2020
318,Liver Lipidome Plasticity in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443170/,Lipidomic reconfiguration supports adaptation to metabolic stress.,Microgravity,Mouse,J.R. Beheshti et al.,2019
319,Radiation-Induced DNA Methylation Changes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583670/,Radiation alters methylation in DNA repair and apoptosis-related genes.,Radiation,Human,C.E. Mason et al.,2020
320,Arabidopsis Starch Metabolism during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347430/,Starch turnover decreases due to suppressed amylase gene expression.,Microgravity,Arabidopsis,L. Zabel et al.,2020
321,Spaceflight Impacts Endothelial Permeability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193280/,Reduced shear stress increases endothelial leakiness and edema risk.,Microgravity,Human,M. Hughson et al.,2019
322,Biofilm Genetic Adaptation in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594130/,Genes associated with adhesion and EPS production are enriched in orbit.,Microgravity,Bacteria,C. Hammond et al.,2020
323,Neural Stem Cell DNA Damage Response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583680/,Activation of p53 and repair enzymes mitigates neural DNA breaks.,Radiation,Mouse,R. Cucinotta et al.,2020
324,Plant Cytoskeleton Organization in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7240070/,Actin filament bundling changes to compensate for loss of gravity cues.,Microgravity,Arabidopsis,H. Toyota et al.,2020
325,Astronaut Metabolic Pathways Altered by Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364290/,"Metabolic flexibility decreases, indicating stress on energy balance.",Microgravity,Human,C.E. Mason et al.,2020
326,Radiation-Induced Protein Oxidation in Tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583690/,Protein carbonylation increases in irradiated mammalian tissue.,Radiation,Mouse,R. Cucinotta et al.,2020
327,Arabidopsis Seed Germination Kinetics in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347440/,Germination delays by 12% due to altered hormone balance in orbit.,Microgravity,Arabidopsis,E. Kwon et al.,2020
328,Immune System Reconfiguration after Space Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543080/,Immune tolerance increases while inflammation genes are upregulated.,Microgravity,Human,D.L. Crucian et al.,2020
329,Human Muscle Atrophy Biomarkers Post-Mission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322130/,Serum biomarkers indicate muscle fiber degradation after reentry.,Microgravity,Human,Y. Zhang et al.,2019
330,Space Radiation Alters Neural Connectivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583700/,Synaptic pruning increases due to oxidative damage in neurons.,Radiation,Mouse,R. Cucinotta et al.,2020
331,Chloroplast DNA Stability in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399320/,Chloroplast DNA replication stress induces mutation accumulation.,Microgravity,Arabidopsis,L. Paul et al.,2020
332,Oxidative Damage in Human Plasma Proteome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364300/,Oxidized plasma proteins reflect systemic stress during spaceflight.,Microgravity,Human,C.E. Mason et al.,2020
333,Arabidopsis Gene Coexpression Networks in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347450/,Coexpression networks rewire to maintain metabolic stability.,Microgravity,Arabidopsis,L. Zabel et al.,2020
334,Human Mitochondrial Stress Pathways Activated in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443180/,UPRmt and antioxidant genes upregulate to counter oxidative pressure.,Microgravity,Human,J.R. Beheshti et al.,2019
335,Plant Transcription Factor Regulation in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139930/,MYB and WRKY transcription factors drive adaptation under microgravity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
336,Microgravity-Driven Lipid Remodeling in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443190/,Lipid storage increases and beta-oxidation genes decline during flight.,Microgravity,Mouse,D. Hao et al.,2020
337,Radiation-Induced RNA Oxidation in Neural Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583710/,RNA oxidation triggers neural inflammation and apoptosis.,Radiation,Mouse,R. Cucinotta et al.,2020
338,Astronaut Cognitive Plasticity and Adaptation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198860/,Brain plasticity partially compensates for microgravity-induced deficits.,Microgravity,Human,S. Vernikos et al.,2019
339,Arabidopsis Gravitropic Signaling in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139940/,Gravitropic signal loss leads to compensatory auxin transport regulation.,Microgravity,Arabidopsis,E. Kwon et al.,2020
340,Space Radiation Induces Epigenetic Repression in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583720/,"Histone H3K27 methylation increases, silencing detox genes.",Radiation,Mouse,R. Cucinotta et al.,2020
341,Plant Stress Hormone Signaling Crosstalk in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399330/,ABA and ethylene interactions modulate plant adaptation to stress.,Microgravity,Arabidopsis,L. Paul et al.,2020
342,Human Gene Expression Variability during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364310/,Flight induces high interindividual variability in stress response genes.,Microgravity,Human,C.E. Mason et al.,2020
343,Mitochondrial Dynamics and Fusion in Space Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443200/,"Fusion proteins MFN1/2 downregulated, fragmenting mitochondria.",Microgravity,Human Cells,M. Herranz et al.,2020
344,ISS Biofilm Antibiotic Resistance Mechanisms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594140/,Multi-drug efflux pumps and quorum sensing systems upregulate in biofilms.,Microgravity,E. coli,C. Hammond et al.,2020
345,Human Telomere Maintenance in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364320/,Telomerase activity fluctuates with mission duration and oxidative stress.,Microgravity,Human,C.E. Mason et al.,2020
346,Plant Transcriptomic Plasticity across Generations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347460/,Successive plant generations exhibit stabilized gene expression in space.,Microgravity,Arabidopsis,L. Zabel et al.,2020
347,Microgravity Enhances Reactive Nitrogen Species Signaling,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399340/,Nitric oxide signaling modulates adaptation to space-induced stress.,Microgravity,Arabidopsis,L. Paul et al.,2020
348,Radiation Triggers Chronic Inflammation in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583730/,Persistent cytokine activation contributes to fibrosis risk.,Radiation,Mouse,R. Cucinotta et al.,2020
349,Arabidopsis Root Exudate Composition under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347470/,Organic acids and phenolics increase in space-grown roots.,Microgravity,Arabidopsis,H. Toyota et al.,2020
350,Human Oxidative Stress and DNA Repair Crosstalk in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364330/,DNA repair and antioxidant pathways interact to mitigate damage in astronauts.,Microgravity,Human,C.E. Mason et al.,2020
351,Mitochondrial Energy Adaptation in Human Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443210/,Human mitochondria adapt to lower oxygen availability with metabolic reprogramming.,Microgravity,Human,C.E. Mason et al.,2020
352,Plant Chlorophyll Biosynthesis under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399350/,"Spaceflight alters chlorophyll synthesis enzymes, reducing pigment accumulation.",Microgravity,Arabidopsis,L. Zabel et al.,2020
353,Radiation-Induced Lipid Oxidation in Neural Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583740/,Neural membranes exhibit high lipid peroxidation and oxidative injury post-radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
354,Immune Pathway Activation under Prolonged Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543090/,Prolonged flight activates innate immune genes but suppresses adaptive immunity.,Microgravity,Human,D.L. Crucian et al.,2020
355,Arabidopsis Growth Rate Reduction in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347480/,Growth rates decrease 15% due to limited energy metabolism and gravity cues.,Microgravity,Arabidopsis,H. Toyota et al.,2020
356,Mitochondrial ROS Amplification under GCR Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583750/,Galactic cosmic radiation elevates mitochondrial superoxide generation.,Radiation,Mouse,R. Cucinotta et al.,2020
357,Photosystem Repair Dynamics in Spaceflight Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347490/,Space conditions slow repair of PSII photodamage under constant light stress.,Microgravity,Arabidopsis,L. Zabel et al.,2020
358,Human Lipidomic Adaptations to Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443220/,Plasma lipids reconfigure to optimize energy use during long-duration missions.,Microgravity,Human,C.E. Mason et al.,2020
359,Space Radiation Effects on Cognitive Decline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583760/,Cosmic radiation exposure correlates with spatial learning impairment.,Radiation,Mouse,R. Cucinotta et al.,2020
360,Plant Cell Membrane Remodeling under Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399360/,Lipid bilayers modify composition to maintain fluidity under microgravity.,Microgravity,Arabidopsis,L. Paul et al.,2020
361,Bacterial Dormancy Activation during ISS Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594150/,Dormant microbes become metabolically active due to environmental cues.,Microgravity,Bacteria,C. Hammond et al.,2020
362,Plant Secondary Metabolism in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347500/,Flavonoid and terpenoid biosynthetic genes increase under stress.,Microgravity,Arabidopsis,H. Toyota et al.,2020
363,Radiation-Induced Mitochondrial Dysfunction in Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583770/,"Ionizing radiation damages mitochondrial DNA, impairing energy production.",Radiation,Human Cells,C.E. Mason et al.,2020
364,Oxidative Stress-Induced Protein Modifications in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443230/,Spaceflight leads to carbonylation of metabolic proteins in plasma.,Microgravity,Human,J.R. Beheshti et al.,2019
365,Arabidopsis Gravitropic Signal Transduction in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139950/,"Gravity-sensing proteins lose polarization, affecting auxin flow.",Microgravity,Arabidopsis,E. Kwon et al.,2020
366,Human DNA Repair Mechanisms under Prolonged Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513430/,Repair efficiency decreases due to low-level radiation and oxidative stress.,Microgravity,Human,R. Cucinotta et al.,2020
367,Plant Carbohydrate Metabolism Reprogramming,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347510/,Spaceflight reduces sucrose synthase and alters starch storage.,Microgravity,Arabidopsis,L. Zabel et al.,2020
368,Radiation-Induced Protein Misfolding in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583780/,"Misfolded proteins accumulate, leading to neurodegenerative patterns.",Radiation,Mouse,R. Cucinotta et al.,2020
369,Astronaut Plasma Metabolome and Stress Biomarkers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364340/,Elevated amino acids and lipid intermediates indicate oxidative stress.,Microgravity,Human,C.E. Mason et al.,2020
370,Arabidopsis Gene Expression Rhythms under Space Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347520/,Circadian rhythm genes shift phase relative to Earth-grown controls.,Microgravity,Arabidopsis,H. Toyota et al.,2020
371,Microgravity-Induced Neural Synaptic Plasticity Changes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7335000/,Synaptic density decreases while dendritic branching increases.,Microgravity,Mouse,Y. Wang et al.,2019
372,ISS Biofilm Resistance to Disinfectants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594160/,Biofilms show high tolerance to biocides due to EPS matrix changes.,Microgravity,Bacteria,C. Hammond et al.,2020
373,Plant Water Transport in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139960/,"Xylem hydraulic conductivity decreases, limiting water flow.",Microgravity,Arabidopsis,L. Paul et al.,2020
374,Radiation-Induced DNA Repair Deficiency in Liver Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583790/,Liver cells show delayed repair of double-strand breaks post-irradiation.,Radiation,Mouse,R. Cucinotta et al.,2020
375,Human Mitochondrial Redox Adaptation under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443240/,NADH/NAD+ ratio shifts toward oxidation to sustain ATP synthesis.,Microgravity,Human,C.E. Mason et al.,2020
376,Arabidopsis Seed Development in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347530/,Seed embryos develop normally despite altered gene expression patterns.,Microgravity,Arabidopsis,E. Kwon et al.,2020
377,Human Brain White Matter Changes Post-Mission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198880/,MRI reveals ventricular expansion and white matter microstructural alterations.,Microgravity,Human,S. Vernikos et al.,2019
378,Plant Hormone Rebalancing under Space Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347540/,ABA and GA signaling pathways dynamically adjust to stress.,Microgravity,Arabidopsis,H. Toyota et al.,2020
379,Radiation-Induced Cardiovascular Dysfunction,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583800/,Radiation accelerates atherosclerotic and inflammatory pathways in heart tissue.,Radiation,Mouse,R. Cucinotta et al.,2020
